,企業名,キャッチコピー,ステータス,初年度年収
26,株式会社ミス・パリ | エステティックミス・パリグループでの募集！残業月10時間程度,【社内SE（課長候補)】★転勤なし ※即戦力採用 正社員,正社員,
27,冨士高圧フレキシブルホース株式会社,【 社内IT担当 】土日祝休み！充実の福利厚生を準備しています 正社員,正社員,
28,株式会社ソフトウェアプロダクツ | ★大手取引多数で業績好調　★健康経営優良法人の認定企業,【SE(リーダー候補)】高条件募集！入社時から月給46万円も可能！ 正社員,正社員,
29,株式会社プロリード | バラエティ豊かな案件あり！仲間との連携も感じられる温かい職場,AR・VRなどの【スマホアプリ開発エンジニア】※年間休日120日 正社員,正社員,300万円～600万円
30,ナレッジソフト株式会社 | 【 技術者ファーストのソフトウェア開発会社 】■自社内開発あり,【プログラマー】■リモートワーク実施中 ■年間休日120日以上 正社員,正社員,
31,株式会社アンヴィル | 株式会社Anvil　☆11/06 『マイナビ転職フェア新宿 』にも出展！,ITエンジニア（プログラマー／インフラ系エンジニア） 正社員,正社員,300万円～720万円
32,株式会社シップス | 第2新卒・未経験者歓迎！賞与年3回／健康経営優良法人,自社内比率100％！派遣・出向ナシの【SE・PG】※年間休日120日 正社員,正社員,
33,国立大学法人広島大学 | ＼現在50代2名、40代7名、30代4名、20代3名の17名が活躍中／,IT系総合職（基幹業務システム／オンライン教育システム） 契約社員,契約社員,250万円～500万円
34,学校法人 高宮学園 | 【代々木ゼミナール】未経験OK／20～60代活躍中★,【予備校補助業務】サポート職員※障がい者採用※事務業務中心！ パート・アルバイト,パート・アルバイト,100万円～200万円
35,学校法人 高宮学園 | 【代々木ゼミナール】未経験OK／完全週休2日／20～30代活躍中★,【予備校業務】正職員※障がい者採用※未経験歓迎！年休123日！ 正社員,正社員,300万円～400万円
36,株式会社ロジック | 残業月平均20時間★完全週休2日（土日祝）☆年間休日125日★,エンジニアが選ぶ紹介したいシステム開発会社No.1【SE】 正社員,正社員,300万円～450万円
37,株式会社Misumi | 創業100年以上を誇る鹿児島の安定企業。九州全域の活性化に貢献,年休120日以上！プライベートと仕事の両立◎【 社内SE 】 正社員,正社員,
38,株式会社ヴィンクス | 流通小売業界に特化した超ユーザー系SI企業★昨年実績4.2ヶ月分,"【自社POSシステム提案~開発導入SE】C#,Azure経験歓迎/年休124日 正社員",正社員,400万円～550万円
39,株式会社ソフィア | 【ユースエール認定企業】年休124日以上/残業月平均8時間程度,【SE】企業・官公庁のシステム開発★能力・実績を正当評価！ 正社員,正社員,
40,ファーストウッド株式会社 | 【面接1回/研修充実】東証1部上場「飯田グループHD」100%子会社,大手住宅メーカーのシステム基盤を支える【社内SE】★年休112日 正社員,正社員,330万円～520万円
41,日鉄日立システムエンジニアリング株式会社 | 新日本製鐵(現新日鐵住金)×日立製作所のジョイントベンチャー,<安定経営>【基幹システム導入コンサルタント】※土日祝休み 正社員,正社員,500万円～600万円
42,ユニオンツール株式会社 | 東証一部上場企業！国内・世界のPCBドリル製品で圧倒的シェア！,メーカーの【社内SE】★残業少なめ ★完全週休2日 ★福利厚生◎ 正社員,正社員,332万円～403万円
43,システム・エンジニアリング・ハウス株式会社 | 官公庁はじめ、大手取引先多数！安定成長中のシステム会社,【システムエンジニア/プログラマー】☆テレワーク可能☆ 正社員,正社員,250万円～700万円
44,株式会社コスモ・ウェブ | IT技術のひとつ先へ、人にやさしいシステムを,【システムエンジニア】★100％社内開発 ★社会インフラを支える 正社員,正社員,350万円～600万円
45,日本環境設計株式会社 | 社員数が着実に増加！リサイクル事業で世界展開する成長企業★,SDGs推進企業の【社内SE】年間休日124日／残業月20時間程度 正社員,正社員,380万円～550万円
46,株式会社フェリシモ | 【東証一部上場企業】独創性のある商品・事業形態をもつ通販企業,【社内SE（インフラエンジニア）】※オンプレからクラウドへ移行 正社員,正社員,360万円～420万円
47,チエル株式会社 | JASDAQ上場|学校教育市場に特化したICTの専業メーカー|年休123日,【企業向けネットワークソリューション営業】★20～30代活躍中 正社員,正社員,416万円～650万円
48,株式会社アクロクレイン | 年間休日126日★IT事業を中心に展開するアクログループ会社,【システムエンジニア】★土日祝休み★平均残業月20時間！ 正社員,正社員,420万円
49,株式会社ネクシモ | 【ITシステムを通じて地域の暮らしを支援】転勤ナシ／残業少なめ,＼WEB面接もOK／情報処理システムの【保守】※年間休日128日 正社員,正社員,322万円～420万円
